power,memory Used,u_gpu,u_memory
117.08,128.0,100.0,14.0
116.98,128.0,100.0,14.0
117.08,128.0,100.0,14.0
116.98,128.0,100.0,14.0
116.99,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.17,128.0,100.0,14.0
116.98,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.08,128.0,100.0,14.0
116.98,128.0,100.0,14.0
117.27,128.0,100.0,14.0
116.98,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.27,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.09,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.17,128.0,100.0,14.0
116.98,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.08,128.0,100.0,14.0
117.17,128.0,100.0,14.0
117.09,128.0,100.0,14.0
20.23,6.0,0.0,0.0
97.39,128.0,16.0,2.0
116.31,128.0,100.0,14.0
116.79,128.0,100.0,14.0
116.71,128.0,100.0,14.0
116.88,128.0,100.0,14.0
116.88,128.0,100.0,14.0
116.99,128.0,100.0,14.0
116.99,128.0,100.0,14.0
116.98,128.0,100.0,14.0
