power,memory Used,u_gpu,u_memory
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
36.36,333.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.33,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,48.0,0.0,0.0
39.94,1107.0,1.0,0.0
35.39,1107.0,8.0,0.0
35.49,1107.0,8.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.39,1107.0,0.0,0.0
35.38,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
24.42,22.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
35.09,851.0,1.0,0.0
39.94,1107.0,1.0,0.0
35.39,1107.0,8.0,0.0
35.59,1107.0,0.0,0.0
35.39,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
36.36,333.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
35.09,851.0,1.0,0.0
35.59,1107.0,35.0,2.0
35.49,1107.0,8.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
24.42,22.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.33,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,48.0,0.0,0.0
39.94,1107.0,1.0,0.0
35.39,1107.0,8.0,0.0
35.59,1107.0,0.0,0.0
35.39,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.39,1107.0,0.0,0.0
35.38,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.48,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.58,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
35.49,1107.0,0.0,0.0
35.59,1107.0,0.0,0.0
24.42,22.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.32,34.0,0.0,0.0
24.42,34.0,0.0,0.0
