power,memory Used,u_gpu,u_memory
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.42,34.0,0.0,0.0
35.78,333.0,1.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
24.42,34.0,0.0,0.0
24.51,46.0,0.0,0.0
24.42,22.0,0.0,0.0
