power,memory Used,u_gpu,u_memory
23.69,0.0,0.0,0.0
31.73,279.0,4.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.98,279.0,0.0,0.0
31.98,279.0,1.0,0.0
34.9,279.0,1.0,0.0
23.69,0.0,0.0,0.0
31.73,279.0,4.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.98,279.0,0.0,0.0
31.98,279.0,1.0,0.0
34.9,279.0,1.0,0.0
23.69,0.0,0.0,0.0
31.73,279.0,4.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.98,279.0,0.0,0.0
31.98,279.0,1.0,0.0
34.9,279.0,1.0,0.0
39.28,263.0,1.0,0.0
28.56,25.0,0.0,0.0
31.73,279.0,4.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,1.0,0.0
32.46,279.0,1.0,0.0
39.28,263.0,1.0,0.0
28.56,25.0,0.0,0.0
31.73,279.0,4.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,1.0,0.0
32.46,279.0,1.0,0.0
39.28,263.0,1.0,0.0
28.56,25.0,0.0,0.0
31.73,279.0,4.0,0.0
31.73,279.0,0.0,0.0
31.73,279.0,0.0,0.0
